Product Name,Portfolio,Statement URL,,,,
Adoption Legislation Program,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/alp,,,,
AFTC-SC Automated freight targetting capability - sea containers,MBPT-BF,working,,,,
Apply for a passport,MBPT,https://www.passport.service.gov.uk/help/accessibility-statement,,,,
Ask a question about applying for settled status,MBPT,https://eu-settled-status-enquiries.service.gov.uk/accessibilitystatement,,,,
Asylum claim,MBPT,null,,,,
Asylum Contact Questionaire,MBPT,https://acq.uat.sas-notprod.homeoffice.gov.uk/accessibility,,,,
Booker,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/booker,,,,
Border Force CBP,MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=59cfc34a1b5fd4d445e741d7bd4bcba8&id=kb_article_view&sysparm_rank=6&sysparm_tsqueryId=f7c4f4b51b2fc194e1a520a8b04bcb01,,,,
CD Importer,MBPT-HMPO,https://pia-uploader-service-ho-hmpo-asit1-i-bdpt-piafro.np.ebsa.homeoffice.gov.uk/accessibility-statement,,,,
Change your address or your legal representative's details,MBPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=Kc5M6ZRYw0,,,,
Check passport validity,MBPT,null,,,,
Check right to work (EUSS),MBPT,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
Civil Partnership Indexes,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/cp-indexes,,,,
Civil Registrations,MBPT-HMPO,null,,,,
Clue (CFI Crime team),MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=758f12641b18e45069c041d7bd4bcbd5&id=kb_article_view&sysparm_rank=17&sysparm_tsqueryId=10e8703d1b6fc194e1a520a8b04bcbc6,,,,
Clue (RIT SCMS),MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=12b303a41b37f85473015946464bcb1d&id=kb_article_view&sysparm_rank=9&sysparm_tsqueryId=db87f8751b6fc194e1a520a8b04bcb2f,,,,
Commemorative Certificates,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/commemorative-certificates,,,,
Compass CBP,MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=59cfc34a1b5fd4d445e741d7bd4bcba8&id=kb_article_view&sysparm_rank=6&sysparm_tsqueryId=f7c4f4b51b2fc194e1a520a8b04bcb01,,,,
Contact UK Visas and Immigration from outside the UK,MBPT,null,,,,
CPCT,MBPT,null,,,,
Digital Application Processing,MBPT-HMPO,null,,,,
Digital Customer Service Application Tracking - paper forms,MBPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=Kc5M6ZRYw0,,,,
Digital Customer Services,MBPT-HMPO,null,,,,
Digital Evidence,MBPT,https://ukvi-uploads.custhelp.com/euf/assets/themes/standard/custom/pdf/Accessibility-Statement-2020-Digitised-Evidence.pdf,,,,
DOCD,MBPT,null,,,,
Driver Validation Service 2,MBPT-HMPO,null,,,,
DVA Legacy,MBPT-HMPO,null,,,,
DVA-D,MBPT-HMPO,null,,,,
Dynamic Response Tool,MBPT,null,,,,
Electronic Access of GRO Legacy Events,MBPT-HMPO,http://teagleapp3.gro.ho:8011/OA_HTML/US/Eagle_Accessibility_Statement.html,,,,
Electronic General Aviation Report,MBPT-BF,null,,,,
Ezri Policy Guidance Tool,MBPT-HMPO,https://lssiprod.service-now.com/ess?sys_kb_id=1ae16fba1b7bf8540ec7c3e5464bcbfb&id=kb_article_view&sysparm_rank=21&sysparm_tsqueryId=10e8703d1b6fc194e1a520a8b04bcbc6,,,,
FES UK Enrollment station,MBPT,null,,,,
Fraud Information Archive,MBPT-HMPO,null,,,,
GHost,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/ghost,,,,
GRO Certificate Enquiries,MBPT,https://www.certificate-enquiries.homeoffice.gov.uk/accessibility,,,,
HELIOS - back office BX tools,MBPT-BF,null,,,,
HELIOS - Egate scan vision box UI,MBPT-BF,null,,,,
HELIOS - primary control point,MBPT-BF,null,,,,
Help refugees who have come to the UK,MBPT,null,,,,
Immigration Enforcement Border Force,MBPT,null,,,,
Immigration Skills Charge Fee Calculator,MBPT,null,,,,
Integrated Process Management,MBPT-BF,null,,,,
Intranet False and Authentic Documents Online,MBPT,null,,,,
Irish Passport Checking Service,MBPT-HMPO,https://www.ireland.ie/en/accessibility/,,,,
JRNI,MBPT,https://www.jrni.com/accessibility,,,,
Life Event Verification,MBPT-HMPO,null,,,,
Life Events Records Authentication,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/lera,,,,
Lost Stolen and Recovered Importer,MBPT-HMPO,null,,,,
Missing and Stolen Certificates,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/missing-certificates,,,,
MOVEit,MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=281f8f0a1b5fd4d445e741d7bd4bcb95&id=kb_article_view&sysparm_rank=5&sysparm_tsqueryId=4bf3b8711b2fc194e1a520a8b04bcbe2,,,,
My BRP has not been delivered,MBPT,https://www.biometric-residence-permit.service.gov.uk/accessibility,,,,
NIMBUS,MBPT,https://lssiprod.service-now.com/ess?sys_kb_id=1ae0c103db56ac9077a810935b9619a3&id=kb_article_view&sysparm_rank=8&sysparm_tsqueryId=7c0670bd1b2fc194e1a520a8b04bcbae,,,,
OAPIS,MBPT-BF,null,,,,
ONS GRO Load [Duplicate],MBPT-HMPO,https://www.gro.gov.uk/gro/content/certificates/images/Accessibility_Statement.pdf,,,,
Optic Clue Stand Alone,MBPT-HMPO,null,,,,
Optic Watchlist Maintance Service,MBPT-HMPO,https://lssiprod.service-now.com/ess?sys_kb_id=ea18ce9b1b2f2c10c439dbdbee4bcbf1&id=kb_article_view&sysparm_rank=16&sysparm_tsqueryId=10e8703d1b6fc194e1a520a8b04bcbc6,,,,
Overseas Case Management Tracker,MBPT-HMPO,null,,,,
Passenger Locator Form - Health Database Query Tool,MBPT,null,,,,
Passenger Locator Form - Pre-Departure Test Verification Service,MBPT,https://ipt-auk-plf-customer-aukauto1-kube10.service.np.iptho.co.uk/accessibilityStatement,,,,
Passport advice and complaints,MBPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=Kc5M6ZRYw0,,,,
Passport check and send service,MBPT,https://www.postoffice.co.uk/accessibility,,,,
PBI3,MBPT-HMPO,null,,,,
Prysm,MBPT-HMPO,https://lssiprod.service-now.com/ess?sys_kb_id=5ae7d4a2db81a49070a910935b961975&id=kb_article_view&sysparm_rank=20&sysparm_tsqueryId=10e8703d1b6fc194e1a520a8b04bcbc6,,,,
RAMS Property Manager,MBPT,null,,,,
Refugee Resettlement,MBPT,null,,,,
Regimental Marriages,MBPT-HMPO,https://glampprod1a.gro.ho:7049/accessibility-statements/regimental-marriages,,,,
Register to Apply for US Global Entry,MBPT,https://global-entry.beta.homeoffice.gov.uk/accessibility,,,,
Registered Traveller,MBPT,https://www.faster-uk-entry.service.gov.uk/accessibility,,,,
Registrars Website,MBPT-HMPO,null,,,,
Registration Online Ordering System,MBPT-HMPO,https://www.gro.gov.uk/gro/content/certificates/images/Accessibility_Statement.pdf,,,,
Report a lost or stolen biometric residence permit,MBPT,https://www.biometric-residence-permit.service.gov.uk/accessibility,,,,
Report a passport lost or stolen,MBPT,https://www.loststolenpassport.service.gov.uk/lost-stolen/help/accessibility-statement,,,,
Report an immigration crime,MBPT,https://www.imsallegations.homeoffice.gov.uk/accessibility,,,,
Report Modern Slavery,MBPT,https://www.modernslavery.gov.uk/accessibility,,,,
Request for a return of documents,MBPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=GOXAVaqza3,,,,
Requesting a right to work check (non-EUSS),MBPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=QIOyUiZkKn,,,,
Right to Rent - individuals,MBPT,https://right-to-rent.service.gov.uk/prove/accessibility-statement,,,,
Right to Rent - landlords,MBPT,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
Right to work (non EUSS),MBPT,https://www.immigrationstatuscheck.service.gov.uk/employers/accessibility.ofml?accessibility=iqig82ODaU,,,,
Right to Work (Prove),MBPT,https://right-to-work.service.gov.uk/rtw-prove/accessibility-statement,,,,
Terminal Record Manager,MBPT-HMPO,https://react-frontend-ho-hmpo-asit1-i-trm-searchui.np.ebsa.homeoffice.gov.uk/accessibility-statement,,,,
Themis,MBPT-BF,null,,,,
UK Visa and Citizenship Application Services,MBPT,https://confluence.bics-collaboration.homeoffice.gov.uk/login.action?os_destination=%2Fpages%2Fviewpage.action%3FspaceKey%3DCWFWE%26title%3DAccessibility%2BStatements%2B-%2BOwners&permissionViolation=true,,,,
View and Prove someone else's rights (e.g. as an Employer) under the EU Settlement Scheme,MBPT,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
View and Prove Your rights (as a migrant) under the EU Settlement Scheme,MBPT,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
Visa appointment booking - overseas,MBPT,https://visa.vfsglobal.com/jpn/en/gbr/accessibility,,,,
Visa Fees,MBPT,null,,,,
Voluntary returns service,MBPT,https://visas-immigration.service.gov.uk/accessibilityStatement,,,,
Watchlist Maintenance Service 2.0,MBPT-HMPO,null,,,,
ACC - AC (Asylum Claim),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
SRTP Release 2.0 - (Secure Real Time Platform) Atlas Checks and Traces & R1 Match HTML Document,MBTP,,,,,
Borders & Engagement Assurance Tool,MBTP,,,,,
Strategic Operation Command,MBTP,,,,,
Central Operations Platform (COP),MBTP,https://www.cop.homeoffice.gov.uk/accessibility-statement,,,,
COP - Cerberus - Accessibility Assurance,MBTP,https://www.cerberus.cop.homeoffice.gov.uk/v2/accessibility-statement,,,,
Submit a Pleasure Craft Report (sPCR),MBTP,https://www.spcr.homeoffice.gov.uk/accessibility-statement,,,,
Montoro,MBTP,,,,,
National Maritime Single Window (External),MBTP,https://www.nmsw.homeoffice.gov.uk/accessibility-statement,,,,
Evidential Property Management System (ePMS),MBTP,,,,,
ATLAS - V&C (Visa and Citizenship),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/visaAndImmigration,,,,
ATLAS - IEBF / EAB Services,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/iebf,,,,
ATLAS  - IE CCW TD (Immigration Enforcement Core Caseworking - Travel Documents),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/iebf,,,,
DOD (Daily Operations Dashboard),MBTP,https://manage-workflow.immigrationservices.phz/resources/accessibility?autoRefreshing=false,,,,
Notify (Interfaces),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/notify,,,,
AUK (Access UK1),MBTP,https://visas-immigration.service.gov.uk/accessibilityStatement,,,,
ATLAS - IA (Initial Accommodation),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
PBS - Metastorm,MBTP,https://metastorm.points.immigrationservices.phz/metastorm/eForm.aspx?Action=Accessibility%20Statement&Map=PBS%20Accessibility%20Statement&Service=Metastorm%20BPM%20Server&Timestamp=2025-10-30T10%3A35%3A53,,,,
IVACS (Irish Visa Application Centre Service),MBTP,,,,,
ARC (Application Registration Cards) UI,MBTP,,,,,
MI (Management Information) for Vantage,MBTP,,,,,
HOPS (Home Office Platforms for Storage),MBTP,https://hops-ui.immigrationservices.phz/help/accessibility-statement,,,,
Update My Details - UMD,MBTP,https://update-your-details.homeoffice.gov.uk/accessibility,,,,
"EU Exit:ID Document Check (on App stores), known as IDV app internally",MBTP,https://confirm-your-identity.homeoffice.gov.uk/register/eu-exit-app-accessibility,,,,
PEGA,MBTP,https://lssiprod.service-now.com/ess?id=kb_article&sysparm_article=KB0031625,,,,
Access UK 2,MBTP,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
View a personâ€™s right to work/rent in England,MBTP,https://view-immigration-status.service.gov.uk/view/accessibility-statement,,,,
Prove your right to work/rent in England,MBTP,https://right-to-work.service.gov.uk/rtw-prove/accessibility-statement,,,,
Check someone's immigration status,MBTP,https://view-immigration-status.service.gov.uk/view/accessibility-statement,,,,
View & Prove your immigration status,MBTP,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
EUE - Proving Things To Government (PTTG) - Residency Proving,MBTP,https://residency-proving-v2.immigrationservices.phz/accessibility-statement,,,,
EUE - Enquiry Form,MBTP,https://eu-settled-status-enquiries.service.gov.uk/accessibility-statement,,,,
EUE - External User Authentication (EUA),MBTP,https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/accessibility-statement,,,,
"UK Immigration: ID Check (on App stores), known as GIDV app internally",MBTP,,,,,
Generic Identity Verification Web - GIDV Web,MBTP,https://confirm-your-identity.homeoffice.gov.uk/register/accessibility,,,,
IE Pronto - Web Manager,MBTP,https://ukhomeoffice.sharepoint.com/sites/proj1750/Shared%20Documents/Forms/AllItems.aspx?viewid=b105e9a3%2Dd488%2D4cb9%2Dbc63%2D757687d12bc3&csf=1&web=1&e=6624tM&ovuser=f24d93ec%2Db291%2D4192%2Da08a%2Df182245945c2%2CAshir%2EAugustine1%40homeoffice%2Egov%2Euk&CID=227fd4a1%2D50b5%2De000%2D7026%2D37015082c630&cidOR=SPO&FolderCTID=0x012000C7FB033031224F42A00A87D536265B48&id=%2Fsites%2Fproj1750%2FShared%20Documents%2FPronto%20Guidance%20%2D%20Accessibility%20Statement%20%28Visitor%20Access%29%2FPronto%5FWeb%5FAccessibility%20Statement%202024%5F09%5F25%2Epdf&parent=%2Fsites%2Fproj1750%2FShared%20Documents%2FPronto%20Guidance%20%2D%20Accessibility%20Statement%20%28Visitor%20Access%29,,,,
BRM Movements & Travel,MBTP,https://book-returns-and-movements.homeoffice.gov.uk/accessibility-statement,,,,
Charter Systems (CHIS - Covert Human Intelligence Sources) (Apara),MBTP,,,,,
IPIC (Identify and Prioritise Immigration Cases) / IEBR,MBTP,https://identify-and-prioritise-immigration-cases.immigrationservices.phz/ipic/help/accessibility-statement,,,,
Case prioritisation (HOMBRE),MBTP,https://aot-ui-service-ho-it-prod-i-ie-riv-kube1.service.np.iptho.co.uk/accessibility,,,,
ATLAS - AS (Asylum Support),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
BRPF (Biometric Residency Permit Fulfilment),MBTP,https://cardmanagement.prp1.immigrationservices.phz/fulfilment/accessibilityStatement/accessibilityStatement,,,,
HMPO(Her Majesty's Passport Office) Images,MBTP,,,,,
MRA (Manage Reporting Appointments),MBTP,https://manage-reporting-appointments.immigrationservices.phz/rom-ar/accessibility-statement,,,,
OOCT - Out of Country Transformation - Workstream 1-5,MBTP,,,,,
SIP (Single Intelligence Platform),MBTP,https://intelligence.homeoffice.gov.uk/accessibility-statement,,,,
Orchestra,MBTP,,,,,
Immigration Health Surcharge,MBTP,https://visas-immigration.service.gov.uk/accessibilityStatement,,,,
RMS (Records Management System) application,MBTP,,,,,
ATLAS - ASP (Asylum Support Payments),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
Appeals Rights Exhausted Date Calculator,MBTP,https://www.appeal-rights-exhausted.homeoffice.gov.uk/accessibility,,,,
Biometric Residency Permit Enquiry Forms (BRP),MBTP,https://www.biometric-residence-permit.service.gov.uk/accessibility,,,,
Firearms,MBTP,https://www.firearms-licensing.homeoffice.gov.uk/accessibility,,,,
General Register Office,MBTP,https://www.certificate-enquiries.homeoffice.gov.uk/accessibility,,,,
NRM Modern Slavery,MBTP,https://www.modernslavery.gov.uk/accessibility,,,,
RIL (Refugee Integration Loan),MBTP,https://www.apply-for-refugee-integration-loan.homeoffice.gov.uk/accessibility,,,,
Report Online Terrorist Material (ROTM),MBTP,https://www.report-terrorist-material.homeoffice.gov.uk/accessibility,,,,
UKVI Complaints,MBTP,https://www.ukvi-complaints.homeoffice.gov.uk/accessibility,,,,
UKVI - Ending a Tenancy (EOT),MBTP,https://www.ending-a-tenancy.homeoffice.gov.uk/accessibility,,,,
Helios,MBTP,,,,,
ATLAS - ACC - Human Rights/Further Submission,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
ATLAS - VSI- HOTD (Home Office Travel Docs),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
ATLAS - Framework Engineering (FE) - Case and Person Creation (CPC),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/cpc,,,,
ATLAS - Framework Engineering (FE) - Lightweight Directory Access Protocol (LDAP),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/openLdap,,,,
ATLAS - Framework Engineering (FE) - Template Management,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/templateManagement,,,,
ATLAS - Framework Engineering (FE) - Printing,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/printSolution,,,,
ATLAS - Person Identity Product (PIP) - Person Search (PS),MBTP,,,,,
ATLAS - Person Identity Product (PIP) - Person Summary View 1 (PSV),MBTP,,,,,
ATLAS - Resolve Identity Services (RIS),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/ntl,,,,
Cyclamen,MBTP,,,,,
Intelligence Management System (IMS) - Re-Platforming ,MBTP,,,,,
Transits Accompanying Document (TAD) Storage Solution,MBTP,https://hops-tad-ui-ho-it-prd1-i-com-hops-kops1.service.pr.iptho.co.uk/help/accessibility-statement,,,,
AOT MAB Manage Appointment Bookings,MBTP,https://atlas.immigrationservices.phz/AOT/aot-abs-mgmt-frontend/accessibility,,,,
Request for CMS Replacement (DECS),MBTP,,,,,
BF National Asset Register,MBTP,https://lssiprod.service-now.com/ess?sys_kb_id=41f728bbdbdf501c740510935b96194f&id=kb_article_view&sysparm_rank=1&sysparm_tsqueryId=1804dc5c1be152d062b39939b04bcb69,,,,
Secure Case Management System (formerly iBase),MBTP,,,,,
Optimal Hosting Solution (X-RAY Scanning Training Platform),MBTP,https://learningpool.com/accessibility-statement-for-learning-pool-lxp/,,,,
CFI Amped Image Enhancement Software,MBTP,,,,,
AFFIRM Software Request,MBTP,,,,,
CFI Networking of Digital Forensic Kiosks and Data Storage,MBTP,,,,,
Mobile Biometrics Enrolment (TH),MBTP,,,,,
Reference Data,MBTP,"https://confluence.bics-collaboration.homeoffice.gov.uk/display/CSDP/Interchange+-+Accessibility+Statement
",,,,
Unaccompanied Asylum Seeking Child (UASC) - Claims Assessment & Payment System (CAPS) - strategic replacement,MBTP,,,,,
Strategic Digital Interviewing Solution for UKVI,MBTP,,,,,
ATLAS Chatbot,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/chatbot,,,,
Template QAT - Accessibility Testing - WCAG 2.2 AA,MBTP,,,,,
Person Resolution Service (PRS),MBTP,,,,,
Public Allegations form,MBTP,https://www.imsallegations.homeoffice.gov.uk/accessibility,,,,
ATLAS - Manage Person,MBTP,,,,,
ESPIAL,MBTP,https://esp-ui-service-ho-it-prd1-i-hsg-esp-kube1.service.pr.iptho.co.uk/espial/accessibility,,,,
Sponsorship - Org Services,MBTP,,,,,
ATLAS - Sponsorship,MBTP,,,,,
HOF - Additional Security Checks (ASC),MBTP,https://www.additional-security-checks.homeoffice.gov.uk/accessibility,,,,
Atlas Streamlined,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
ATLAS - National Age Assessment Board (NAAB),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
IE Pronto - Mobile,MBTP,,,,,
ATLAS - Illegal Migration Act (IMA),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
Electronic Travel Authorisation (ETA) - Web,MBTP,https://apply-for-an-eta.homeoffice.gov.uk/accessibility-statement,,,,
Electronic Travel Authorisation (ETA) - App - Android,MBTP,,,,,
National Maritime Single Window (Internal),MBTP,,,,,
Contact WebForm for ETA - Electronic Travel Authorisation (HOF),MBTP,,,,,
RIS - Suitability Checker (SC),MBTP,,,,,
Electronic Travel Authorisation (ETA) - App - iOS,MBTP,,,,,
Business Events Streaming Service (BESS) - Dead Letter Queue(DLQ) UI,MBTP,,,,,
Illegal Migrations Arrival Record (IMAR) Small Boat Arrival Technology (SBAT),MBTP,,,,,
HOF - Landlords Make A Report Form,MBTP,https://www.landlords-reporting.homeoffice.gov.uk/accessibility,,,,
HOF - Change of Address,MBTP,https://www.update-my-details.homeoffice.gov.uk/accessibility,,,,
ETA - Web Messenger,MBTP,https://ukimmigration-support-webchat.homeoffice.gov.uk/eta/accessibility-statement,,,,
ATLAS - Initial Age Decision (IAD),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
ATLAS - Local Authority Age Assessment (LAAA),MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/acc,,,,
E-Visa - Web Messenger,MBTP,https://ukimmigration-support-webchat.homeoffice.gov.uk/evisa/accessibility-statement,,,,
ATLAS  - 360 Degree Case View,MBTP,https://manage-workflow.immigrationservices.phz/tsc/accessibility,,,,
HOF - ACRS - Afghanistan Citizens Resettlement Scheme,MBTP,,,,,
HOF - LCS - Landlord Checking Service,MBTP,https://www.landlords-request-a-check.homeoffice.gov.uk/accessibility,,,,
HOF - ECS - Employer's Checking Service,MBTP,https://www.employer-request-a-check.homeoffice.gov.uk/accessibility,,,,
ATLAS - CID WIP Bulk Upload,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/cidwipBulk,,,,
CID Doc Gen,MBTP,,,,,
ATLAS - Task List,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/taskList,,,,
ATLAS - Out Of Country - Bulk Assign Cases,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/bulkAssign,,,,
ATLAS - Document Creation,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/documentCreation,,,,
CRM - Customer Relationship Management,MBTP,,,,,
FSS - Future Supplier Services - Out Of Country,MBTP,https://atlantis-abs-uk.vfsglobal.com/accessibility,,,,
FSS - Future Supplier Services - In Country,MBTP,,,,,
HOF - E-Visa - Contact Us Form,MBTP,https://www.ask-about-getting-access-evisa.homeoffice.gov.uk/accessibility,,,,
AFTC-SC - Automated Freight Targeting Capability - Sea Containers,MBTP,,,,,
PBS - Sponsor App,MBTP,https://www.points.homeoffice.gov.uk/gui-sms-jsf/AccessibilityStatement.faces,,,,
PBS - Sponsor Management System [SMS],MBTP,https://www.points.homeoffice.gov.uk/gui-sms-jsf/AccessibilityStatement.faces,,,,
PBS - COS/CAS Checker,MBTP,https://coscas.points.immigrationservices.phz/gui-coscheck-jsf/AccessibilityStatement.faces,,,,
Life In The UK app,MBTP,,,,,
Immigration Health Charge,MBTP,,,,,
DAS Knowledge Graph UI (KGUI),MBTP,https://dasboard-ho-it-prd1-i-dp-das-kops1.service.pr.iptho.co.uk/accessibility,,,,
Find My Reference,MBTP,https://www.request-reference-evisa.homeoffice.gov.uk/accessibility,,,,
AOT Manage Asylum Claim (MAC) - New,MBTP,https://manage-asylum-claim.homeoffice.gov.uk/external/accessibility-statement,,,,
E-Visa Error Correction Form,MBTP,https://www.report-error-evisa.homeoffice.gov.uk/accessibility,,,,
Interventions and Sanctions Compliance (ISC2),MBTP,https://identify-and-prioritise-immigration-cases.immigrationservices.phz/ipic/help/accessibility-statement,,,,
Return of Documents Form,MBTP,https://www.cancel-application-and-return-documents.homeoffice.gov.uk/accessibility,,,,
IBA - Intelligence Based Alerts,MBTP,https://intelligence-based-alerts.immigrationservices.phz/iba-ui/accessibility-statement,,,,
HOF - Feedback Form,MBTP,https://hof-feedback.homeoffice.gov.uk/accessibility,,,,
EUSS Web Messenger,MBTP,https://ukimmigration-support-webchat.homeoffice.gov.uk/euss/accessibility-statement,,,,
PIP - PSV2 (Person Summary View),MBTP,,,,,
Resettlement Accommodation Matching System (RAMS),MBTP,,,,,
EUE - Proving Things To Government (PTTG) - Income Proving,MBTP,https://income-proving.immigrationservices.phz/accessibility-statement,,,,
EUE - Proving Things To Government (PTTG) - Scale Up UI,MBTP,,,,,
EUE - Proving Things To Government (PTTG) - Fee Waiver,MBTP,,,,,
EUE - Proving Things To Government (PTTG) - Salary and Employment Checker UI,MBTP,https://check-salary-and-employment.immigrationservices.phz/accessibility-statement,,,,
"Explosives, Precursors and Poisons Form",MBTP,https://www.explosives-precursors-and-poisons.homeoffice.gov.uk/accessibility,,,,
Controlled Substance Licence Suite,MBTP,,,,,
A&PT- Property Management Platform (PMP aka Asylum Accommodation Contract Management Improvement),MBTP,,,,,
Future Supplier Services (FSS) - Biokit - TLS- Accessibility Testing,MBTP,,,,,
ATLAS - Sponsorship Task List,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/sponsorshipTaskList,,,,
ATLAS - CW Resources,MBTP,,,,,
RIS - Suitability Checker (SC) - UMD Biographics,MBTP,,,,,
IPM - Integrated Process Management,MBTP,https://cecpt.cms.homeoffice.gov.uk/accessibility-statement,,,,
ATLAS - ARS - Audit Reporting Service,MBTP,https://atlas.immigrationservices.phz/cwresources/accessibility/ars,,,,
NAAB Portal (National Age Assessment Board),MBTP,https://age-assessment.homeoffice.gov.uk/la/accessibility,,,,
ENIC - European National Information Centres,MBTP,https://qls.ecctis.com/accessibility,,,,
Migrant Help - Portal,MBTP,https://www.migranthelpuk.org/accessibility,,,,
Streamline Asylum Intake (SAI),MBTP,,,,,
MAB: Asylum / Service Support Centre (SSC) ,MBTP,https://atlas.prp1.immigrationservices.phz/ssc/appointments/accessibility-statement,,,,
Visa Processing Times Tool,MBTP,https://www.check-your-visa-processing-time.homeoffice.gov.uk/accessibility,,,,
Mobile Biometrics Enrolment - New,MBTP,,,,,
ScanApp,MBTP,https://scanapp.immigrationservices.phz/accessibility-statement,,,,
Check Your Electronic Travel Authorisation (ETA),MBTP,https://check-your-travel-permission.homeoffice.gov.uk/accessibility-statement,,,,
EUE - Proving Things To Government (PTTG) - Nationality Residency Checker,MBTP,,,,,
EUE - Proving Things To Government (PTTG) - Sponsor Organisation Checker,MBTP,,,,,
Body Worn Video,MBTP,,,,,
Person Resolution Service 2 (PRS2),MBTP,,,,,
EUSS Web Messenger - Reskin,MBTP,,,,,
